days,2025_VNINDEX,2024_VNINDEX,2023_VNINDEX,2025_DXY,2024_DXY,2023_DXY,2025_CL=F,2024_CL=F,2023_CL=F,2025_XAU_USD,2024_XAU_USD,2023_XAU_USD,2025_BTC_USD,2024_BTC_USD,2023_BTC_USD,2025_^DJI,2024_^DJI,2023_^DJI
01-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Jan,0,0,0,0,0,0,0,0,0,0.010390319,-0.001897649,-0.000109562,0.026129247,0.017900939,0.003812952,0,0,0
03-Jan,-0.011908228,0.011001019,0,0.006173391,0.007197825,0,0.017814876,-0.016873506,0,0.005645399,-0.009164924,0.008975451,0.038726977,-0.029027181,0.00329683,0.008017013,-0.007552628,0
04-Jan,-0.018476103,0.016725629,0.002346921,0.0036093,0.010232553,0.008875151,0.030395292,0.019154876,-0.041206401,0.005648085,-0.00924252,0.01828852,0.040039792,0.002053397,0.01429098,0.007418627,-0.007281498,0.004025741
05-Jan,-0.018476103,0.020167025,0.011397402,0.0036093,0.009646983,0.003998481,0.030395292,0.010392562,-0.092986336,0.005752542,-0.007558329,0.007538502,0.040841272,0.00166339,0.012719399,0.007418627,-0.006593216,-0.006184471
06-Jan,-0.018476103,0.024938812,0.007248963,0.0036093,0.010037617,0.013415252,0.030395292,0.025724062,-0.083156968,0.004928638,-0.007874291,0.013499322,0.079117491,-0.002265177,0.019563506,0.007418627,-0.000803921,0.015088823
07-Jan,-0.017994717,0.024938812,0.009883464,-0.001715726,0.010037617,0.002563283,0.022157607,0.025724062,-0.089916465,0.007537038,-0.008637026,0.015891727,0.028613186,-0.003313108,0.019746928,0.003245984,-0.000803921,0.01172995
08-Jan,-0.014730698,0.024938812,0.009883464,0.00086879,0.010037617,0.002563283,0.036863409,0.025724062,-0.089916465,0.00620707,-0.014220841,0.016394287,0.009224749,0.065580675,0.02777204,0.005758186,-0.000803921,0.01172995
09-Jan,-0.018927273,0.023559749,0.009883464,0.005195742,0.007890006,0.002563283,0.02076039,-0.009645253,-0.089916465,0.009938513,-0.016775677,0.024802974,-0.017704854,0.047893545,0.033939571,-0.010583944,-0.004992853,0.01172995
10-Jan,-0.031200838,0.02610601,0.009067701,0.00647915,0.010433561,-0.003403445,0.033990085,0.008123671,-0.070997187,0.01457522,-0.019627984,0.034542898,0.006271327,0.058471129,0.048462148,-0.010583944,-4.47E-04,0.017292785
11-Jan,-0.02699919,0.026691381,0.011355672,0.010232662,0.008677118,-0.004081146,0.064276799,-0.003515464,-0.072065873,0.015184567,-0.015070408,0.031116184,0.004847279,0.052912395,0.076468299,-0.002031604,-4.18E-05,0.025271343
12-Jan,-0.02699919,0.020220989,0.011952403,0.010232662,0.008677118,-0.005631268,0.064276799,0.020037042,-0.033018023,0.015602476,-0.007872098,0.039447138,0.004020812,-0.022902252,0.128584095,-0.002031604,-0.003171864,0.031657502
13-Jan,-0.02699919,0.019718732,0.015530655,0.010232662,0.012978142,-0.013878877,0.064276799,0.014832209,-0.025038579,0.004340162,-0.007232426,0.045305043,0.004318054,-0.023153929,0.183698511,-0.002031604,-0.009339488,0.034952054
14-Jan,-0.032324385,0.019718732,0.021671189,0.009594211,0.012978142,-0.012802655,0.094065128,0.014832209,-0.002311322,0.00776285,-0.007404842,0.047145548,0.025663776,-0.047571648,0.237276985,0.003197124,-0.009339488,0.023531412
15-Jan,-0.026539436,0.019718732,0.021671189,0.006491205,0.012978142,-0.012802655,0.08404228,0.014832209,-0.002311322,0.021408196,-0.00512431,0.050124495,0.066793775,-0.030448129,0.232724228,0.019737527,-0.009339488,0.023531412
